Gears Three Point
t_k, y_k, y_real
0,0,0
0.01,0.868982,1.01787
0.02,1.09588,1.03764
0.03,1.0627,1.05717
0.04,1.06632,1.0765
0.05,1.094,1.09564
0.06,1.11562,1.11459
0.07,1.13353,1.13335
0.08,1.15179,1.15192
0.09,1.17028,1.17031
0.1,1.18853,1.18852
0.11,1.20654,1.20654
0.12,1.22438,1.22439
0.13,1.24205,1.24205
0.14,1.25954,1.25954
0.15,1.27686,1.27686
0.16,1.29401,1.29401
0.17,1.31098,1.31098
0.18,1.32779,1.32779
0.19,1.34443,1.34443
0.2,1.3609,1.3609
0.21,1.37721,1.37721
0.22,1.39336,1.39336
0.23,1.40934,1.40934
0.24,1.42517,1.42517
0.25,1.44084,1.44084
0.26,1.45635,1.45635
0.27,1.47171,1.47171
0.28,1.48692,1.48692
0.29,1.50197,1.50198
0.3,1.51688,1.51688
0.31,1.53164,1.53164
0.32,1.54625,1.54625
0.33,1.56071,1.56071
0.34,1.57503,1.57504
0.35,1.58921,1.58921
0.36,1.60325,1.60325
0.37,1.61715,1.61715
0.38,1.63091,1.63091
0.39,1.64453,1.64453
0.4,1.65802,1.65802
0.41,1.67137,1.67137
0.42,1.68459,1.68459
0.43,1.69768,1.69768
0.44,1.71064,1.71064
0.45,1.72347,1.72347
0.46,1.73617,1.73617
0.47,1.74874,1.74875
0.48,1.76119,1.7612
0.49,1.77352,1.77352
0.5,1.78572,1.78573
0.51,1.79781,1.79781
0.52,1.80977,1.80977
0.53,1.82161,1.82161
0.54,1.83334,1.83334
0.55,1.84495,1.84495
0.56,1.85644,1.85644
0.57,1.86782,1.86782
0.58,1.87908,1.87908
0.59,1.89024,1.89024
0.6,1.90128,1.90128
0.61,1.91221,1.91221
0.62,1.92303,1.92304
0.63,1.93375,1.93375
0.64,1.94436,1.94436
0.65,1.95486,1.95486
0.66,1.96526,1.96526
0.67,1.97556,1.97556
0.68,1.98575,1.98575
0.69,1.99584,1.99584
0.7,2.00584,2.00584
0.71,2.01573,2.01573
0.72,2.02552,2.02552
0.73,2.03522,2.03522
0.74,2.04482,2.04482
0.75,2.05432,2.05432
0.76,2.06373,2.06373
0.77,2.07305,2.07305
0.78,2.08227,2.08227
0.79,2.0914,2.0914
0.8,2.10044,2.10044
