t, x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.000,0.000, 0.309, 0.588, 0.809, 0.951, 1.000, 0.951, 0.809, 0.588, 0.309, -0.000, -0.309, -0.588, -0.809, -0.951, -1.000, -0.951, -0.809, -0.588, -0.309, 0.000
0.025,0.000, 0.305, 0.581, 0.799, 0.939, 0.988, 0.939, 0.799, 0.581, 0.305, -0.000, -0.305, -0.581, -0.799, -0.939, -0.988, -0.939, -0.799, -0.581, -0.305, 0.000
0.050,0.000, 0.294, 0.559, 0.770, 0.905, 0.951, 0.905, 0.770, 0.559, 0.294, -0.000, -0.294, -0.559, -0.770, -0.905, -0.951, -0.905, -0.770, -0.559, -0.294, 0.000
0.075,0.000, 0.276, 0.524, 0.721, 0.848, 0.892, 0.848, 0.721, 0.524, 0.276, -0.000, -0.276, -0.524, -0.721, -0.848, -0.892, -0.848, -0.721, -0.524, -0.276, 0.000
0.100,0.000, 0.250, 0.476, 0.655, 0.771, 0.810, 0.771, 0.655, 0.476, 0.250, -0.000, -0.250, -0.476, -0.655, -0.771, -0.810, -0.771, -0.655, -0.476, -0.250, 0.000
0.125,0.000, 0.219, 0.417, 0.573, 0.674, 0.709, 0.674, 0.573, 0.417, 0.219, -0.000, -0.219, -0.417, -0.573, -0.674, -0.709, -0.674, -0.573, -0.417, -0.219, 0.000
0.150,0.000, 0.182, 0.347, 0.477, 0.561, 0.590, 0.561, 0.477, 0.347, 0.182, -0.000, -0.182, -0.347, -0.477, -0.561, -0.590, -0.561, -0.477, -0.347, -0.182, 0.000
0.175,0.000, 0.141, 0.269, 0.370, 0.435, 0.457, 0.435, 0.370, 0.269, 0.141, -0.000, -0.141, -0.269, -0.370, -0.435, -0.457, -0.435, -0.370, -0.269, -0.141, 0.000
0.200,0.000, 0.097, 0.184, 0.253, 0.297, 0.313, 0.297, 0.253, 0.184, 0.097, -0.000, -0.097, -0.184, -0.253, -0.297, -0.313, -0.297, -0.253, -0.184, -0.097, 0.000
0.225,0.000, 0.050, 0.094, 0.130, 0.153, 0.161, 0.153, 0.130, 0.094, 0.050, -0.000, -0.050, -0.094, -0.130, -0.153, -0.161, -0.153, -0.130, -0.094, -0.050, 0.000
0.250,0.000, 0.001, 0.003, 0.004, 0.005, 0.005, 0.005, 0.004, 0.003, 0.001, -0.000, -0.001, -0.003, -0.004, -0.005, -0.005, -0.005, -0.004, -0.003, -0.001, 0.000
0.275,0.000, -0.047, -0.089, -0.122, -0.144, -0.151, -0.144, -0.122, -0.089, -0.047, 0.000, 0.047, 0.089, 0.122, 0.144, 0.151, 0.144, 0.122, 0.089, 0.047, 0.000
0.300,0.000, -0.094, -0.178, -0.246, -0.289, -0.303, -0.289, -0.246, -0.178, -0.094, 0.000, 0.094, 0.178, 0.246, 0.289, 0.303, 0.289, 0.246, 0.178, 0.094, 0.000
0.325,0.000, -0.139, -0.264, -0.363, -0.426, -0.448, -0.426, -0.363, -0.264, -0.139, 0.000, 0.139, 0.264, 0.363, 0.426, 0.448, 0.426, 0.363, 0.264, 0.139, 0.000
0.350,0.000, -0.180, -0.342, -0.471, -0.554, -0.582, -0.554, -0.471, -0.342, -0.180, 0.000, 0.180, 0.342, 0.471, 0.554, 0.582, 0.554, 0.471, 0.342, 0.180, 0.000
0.375,0.000, -0.217, -0.413, -0.568, -0.668, -0.702, -0.668, -0.568, -0.413, -0.217, 0.000, 0.217, 0.413, 0.568, 0.668, 0.702, 0.668, 0.568, 0.413, 0.217, 0.000
0.400,0.000, -0.249, -0.473, -0.651, -0.765, -0.804, -0.765, -0.651, -0.473, -0.249, 0.000, 0.249, 0.473, 0.651, 0.765, 0.804, 0.765, 0.651, 0.473, 0.249, 0.000
0.425,0.000, -0.274, -0.522, -0.718, -0.844, -0.887, -0.844, -0.718, -0.522, -0.274, 0.000, 0.274, 0.522, 0.718, 0.844, 0.887, 0.844, 0.718, 0.522, 0.274, 0.000
0.450,0.000, -0.293, -0.557, -0.767, -0.902, -0.948, -0.902, -0.767, -0.557, -0.293, 0.000, 0.293, 0.557, 0.767, 0.902, 0.948, 0.902, 0.767, 0.557, 0.293, 0.000
0.475,0.000, -0.305, -0.580, -0.798, -0.938, -0.986, -0.938, -0.798, -0.580, -0.305, 0.000, 0.305, 0.580, 0.798, 0.938, 0.986, 0.938, 0.798, 0.580, 0.305, 0.000
0.500,0.000, -0.309, -0.588, -0.809, -0.951, -1.000, -0.951, -0.809, -0.588, -0.309, 0.000, 0.309, 0.588, 0.809, 0.951, 1.000, 0.951, 0.809, 0.588, 0.309, 0.000
0.525,0.000, -0.306, -0.581, -0.800, -0.941, -0.989, -0.941, -0.800, -0.581, -0.306, -0.000, 0.306, 0.581, 0.800, 0.941, 0.989, 0.941, 0.800, 0.581, 0.306, 0.000
0.550,0.000, -0.295, -0.561, -0.772, -0.908, -0.954, -0.908, -0.772, -0.561, -0.295, -0.000, 0.295, 0.561, 0.772, 0.908, 0.954, 0.908, 0.772, 0.561, 0.295, 0.000
0.575,0.000, -0.277, -0.527, -0.725, -0.852, -0.896, -0.852, -0.725, -0.527, -0.277, -0.000, 0.277, 0.527, 0.725, 0.852, 0.896, 0.852, 0.725, 0.527, 0.277, 0.000
0.600,0.000, -0.252, -0.480, -0.660, -0.776, -0.816, -0.776, -0.660, -0.480, -0.252, -0.000, 0.252, 0.480, 0.660, 0.776, 0.816, 0.776, 0.660, 0.480, 0.252, 0.000
0.625,0.000, -0.221, -0.421, -0.579, -0.681, -0.716, -0.681, -0.579, -0.421, -0.221, -0.000, 0.221, 0.421, 0.579, 0.681, 0.716, 0.681, 0.579, 0.421, 0.221, 0.000
0.650,0.000, -0.185, -0.351, -0.484, -0.569, -0.598, -0.569, -0.484, -0.351, -0.185, -0.000, 0.185, 0.351, 0.484, 0.569, 0.598, 0.569, 0.484, 0.351, 0.185, 0.000
0.675,0.000, -0.144, -0.274, -0.377, -0.443, -0.466, -0.443, -0.377, -0.274, -0.144, -0.000, 0.144, 0.274, 0.377, 0.443, 0.466, 0.443, 0.377, 0.274, 0.144, 0.000
0.700,0.000, -0.099, -0.189, -0.260, -0.306, -0.322, -0.306, -0.260, -0.189, -0.099, -0.000, 0.099, 0.189, 0.260, 0.306, 0.322, 0.306, 0.260, 0.189, 0.099, 0.000
0.725,0.000, -0.053, -0.100, -0.138, -0.162, -0.170, -0.162, -0.138, -0.100, -0.053, 0.000, 0.053, 0.100, 0.138, 0.162, 0.170, 0.162, 0.138, 0.100, 0.053, 0.000
0.750,0.000, -0.004, -0.009, -0.012, -0.014, -0.015, -0.014, -0.012, -0.009, -0.004, 0.000, 0.004, 0.009, 0.012, 0.014, 0.015, 0.014, 0.012, 0.009, 0.004, 0.000
0.775,0.000, 0.044, 0.083, 0.115, 0.135, 0.142, 0.135, 0.115, 0.083, 0.044, 0.000, -0.044, -0.083, -0.115, -0.135, -0.142, -0.135, -0.115, -0.083, -0.044, 0.000
0.800,0.000, 0.091, 0.173, 0.238, 0.280, 0.294, 0.280, 0.238, 0.173, 0.091, 0.000, -0.091, -0.173, -0.238, -0.280, -0.294, -0.280, -0.238, -0.173, -0.091, 0.000
0.825,0.000, 0.136, 0.258, 0.356, 0.418, 0.440, 0.418, 0.356, 0.258, 0.136, 0.000, -0.136, -0.258, -0.356, -0.418, -0.440, -0.418, -0.356, -0.258, -0.136, 0.000
0.850,0.000, 0.177, 0.338, 0.465, 0.546, 0.574, 0.546, 0.465, 0.338, 0.177, 0.000, -0.177, -0.338, -0.465, -0.546, -0.574, -0.546, -0.465, -0.338, -0.177, 0.000
0.875,0.000, 0.215, 0.409, 0.562, 0.661, 0.695, 0.661, 0.562, 0.409, 0.215, 0.000, -0.215, -0.409, -0.562, -0.661, -0.695, -0.661, -0.562, -0.409, -0.215, 0.000
0.900,0.000, 0.247, 0.469, 0.646, 0.760, 0.799, 0.760, 0.646, 0.469, 0.247, 0.000, -0.247, -0.469, -0.646, -0.760, -0.799, -0.760, -0.646, -0.469, -0.247, 0.000
0.925,0.000, 0.273, 0.519, 0.714, 0.840, 0.883, 0.840, 0.714, 0.519, 0.273, 0.000, -0.273, -0.519, -0.714, -0.840, -0.883, -0.840, -0.714, -0.519, -0.273, 0.000
0.950,0.000, 0.292, 0.556, 0.765, 0.899, 0.945, 0.899, 0.765, 0.556, 0.292, 0.000, -0.292, -0.556, -0.765, -0.899, -0.945, -0.899, -0.765, -0.556, -0.292, 0.000
0.975,0.000, 0.304, 0.579, 0.797, 0.936, 0.985, 0.936, 0.797, 0.579, 0.304, 0.000, -0.304, -0.579, -0.797, -0.936, -0.985, -0.936, -0.797, -0.579, -0.304, 0.000
1.000,0.000, 0.309, 0.588, 0.809, 0.951, 1.000, 0.951, 0.809, 0.588, 0.309, 0.000, -0.309, -0.588, -0.809, -0.951, -1.000, -0.951, -0.809, -0.588, -0.309, 0.000
1.025,0.000, 0.306, 0.582, 0.801, 0.942, 0.991, 0.942, 0.801, 0.582, 0.306, 0.000, -0.306, -0.582, -0.801, -0.942, -0.991, -0.942, -0.801, -0.582, -0.306, 0.000
1.050,0.000, 0.296, 0.563, 0.774, 0.910, 0.957, 0.910, 0.774, 0.563, 0.296, 0.000, -0.296, -0.563, -0.774, -0.910, -0.957, -0.910, -0.774, -0.563, -0.296, 0.000
1.075,0.000, 0.278, 0.529, 0.728, 0.856, 0.900, 0.856, 0.728, 0.529, 0.278, 0.000, -0.278, -0.529, -0.728, -0.856, -0.900, -0.856, -0.728, -0.529, -0.278, 0.000
1.100,0.000, 0.254, 0.483, 0.665, 0.781, 0.821, 0.781, 0.665, 0.483, 0.254, 0.000, -0.254, -0.483, -0.665, -0.781, -0.821, -0.781, -0.665, -0.483, -0.254, 0.000
1.125,0.000, 0.223, 0.425, 0.584, 0.687, 0.722, 0.687, 0.584, 0.425, 0.223, 0.000, -0.223, -0.425, -0.584, -0.687, -0.722, -0.687, -0.584, -0.425, -0.223, 0.000
1.150,0.000, 0.187, 0.356, 0.490, 0.576, 0.606, 0.576, 0.490, 0.356, 0.187, 0.000, -0.187, -0.356, -0.490, -0.576, -0.606, -0.576, -0.490, -0.356, -0.187, 0.000
1.175,0.000, 0.147, 0.279, 0.384, 0.451, 0.474, 0.451, 0.384, 0.279, 0.147, 0.000, -0.147, -0.279, -0.384, -0.451, -0.474, -0.451, -0.384, -0.279, -0.147, 0.000
1.200,0.000, 0.102, 0.195, 0.268, 0.315, 0.331, 0.315, 0.268, 0.195, 0.102, 0.000, -0.102, -0.195, -0.268, -0.315, -0.331, -0.315, -0.268, -0.195, -0.102, 0.000
1.225,0.000, 0.056, 0.106, 0.146, 0.171, 0.180, 0.171, 0.146, 0.106, 0.056, 0.000, -0.056, -0.106, -0.146, -0.171, -0.180, -0.171, -0.146, -0.106, -0.056, 0.000
1.250,0.000, 0.007, 0.014, 0.020, 0.023, 0.024, 0.023, 0.020, 0.014, 0.007, 0.000, -0.007, -0.014, -0.020, -0.023, -0.024, -0.023, -0.020, -0.014, -0.007, 0.000
1.275,0.000, -0.041, -0.078, -0.107, -0.125, -0.132, -0.125, -0.107, -0.078, -0.041, -0.000, 0.041, 0.078, 0.107, 0.125, 0.132, 0.125, 0.107, 0.078, 0.041, 0.000
1.300,0.000, -0.088, -0.167, -0.231, -0.271, -0.285, -0.271, -0.231, -0.167, -0.088, -0.000, 0.088, 0.167, 0.231, 0.271, 0.285, 0.271, 0.231, 0.167, 0.088, 0.000
1.325,0.000, -0.133, -0.253, -0.349, -0.410, -0.431, -0.410, -0.349, -0.253, -0.133, -0.000, 0.133, 0.253, 0.349, 0.410, 0.431, 0.410, 0.349, 0.253, 0.133, 0.000
1.350,0.000, -0.175, -0.333, -0.458, -0.539, -0.566, -0.539, -0.458, -0.333, -0.175, -0.000, 0.175, 0.333, 0.458, 0.539, 0.566, 0.539, 0.458, 0.333, 0.175, 0.000
1.375,0.000, -0.213, -0.404, -0.557, -0.654, -0.688, -0.654, -0.557, -0.404, -0.213, -0.000, 0.213, 0.404, 0.557, 0.654, 0.688, 0.654, 0.557, 0.404, 0.213, 0.000
1.400,0.000, -0.245, -0.466, -0.641, -0.754, -0.793, -0.754, -0.641, -0.466, -0.245, -0.000, 0.245, 0.466, 0.641, 0.754, 0.793, 0.754, 0.641, 0.466, 0.245, 0.000
1.425,0.000, -0.271, -0.516, -0.710, -0.835, -0.878, -0.835, -0.710, -0.516, -0.271, -0.000, 0.271, 0.516, 0.710, 0.835, 0.878, 0.835, 0.710, 0.516, 0.271, 0.000
1.450,0.000, -0.291, -0.554, -0.762, -0.896, -0.942, -0.896, -0.762, -0.554, -0.291, -0.000, 0.291, 0.554, 0.762, 0.896, 0.942, 0.896, 0.762, 0.554, 0.291, 0.000
1.475,0.000, -0.304, -0.578, -0.795, -0.935, -0.983, -0.935, -0.795, -0.578, -0.304, -0.000, 0.304, 0.578, 0.795, 0.935, 0.983, 0.935, 0.795, 0.578, 0.304, 0.000
1.500,0.000, -0.309, -0.588, -0.809, -0.951, -1.000, -0.951, -0.809, -0.588, -0.309, -0.000, 0.309, 0.588, 0.809, 0.951, 1.000, 0.951, 0.809, 0.588, 0.309, 0.000
1.525,0.000, -0.307, -0.583, -0.802, -0.943, -0.992, -0.943, -0.802, -0.583, -0.307, -0.000, 0.307, 0.583, 0.802, 0.943, 0.992, 0.943, 0.802, 0.583, 0.307, 0.000
1.550,0.000, -0.297, -0.564, -0.777, -0.913, -0.960, -0.913, -0.777, -0.564, -0.297, 0.000, 0.297, 0.564, 0.777, 0.913, 0.960, 0.913, 0.777, 0.564, 0.297, 0.000
