t, x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.000,0.000, 0.100, 0.200, 0.300, 0.400, 0.500, 0.600, 0.700, 0.800, 0.900, 1.000, 0.900, 0.800, 0.700, 0.600, 0.500, 0.400, 0.300, 0.200, 0.100, 0.000
0.025,0.000, 0.100, 0.200, 0.300, 0.400, 0.500, 0.600, 0.700, 0.800, 0.900, 0.975, 0.900, 0.800, 0.700, 0.600, 0.500, 0.400, 0.300, 0.200, 0.100, 0.000
0.050,0.000, 0.100, 0.200, 0.300, 0.400, 0.500, 0.600, 0.700, 0.800, 0.894, 0.912, 0.894, 0.800, 0.700, 0.600, 0.500, 0.400, 0.300, 0.200, 0.100, 0.000
0.075,0.000, 0.100, 0.200, 0.300, 0.400, 0.500, 0.600, 0.700, 0.798, 0.869, 0.841, 0.869, 0.798, 0.700, 0.600, 0.500, 0.400, 0.300, 0.200, 0.100, 0.000
0.100,0.000, 0.100, 0.200, 0.300, 0.400, 0.500, 0.600, 0.700, 0.790, 0.819, 0.783, 0.819, 0.790, 0.700, 0.600, 0.500, 0.400, 0.300, 0.200, 0.100, 0.000
0.125,0.000, 0.100, 0.200, 0.300, 0.400, 0.500, 0.600, 0.697, 0.766, 0.753, 0.743, 0.753, 0.766, 0.697, 0.600, 0.500, 0.400, 0.300, 0.200, 0.100, 0.000
0.150,0.000, 0.100, 0.200, 0.300, 0.400, 0.500, 0.599, 0.687, 0.722, 0.688, 0.708, 0.688, 0.722, 0.687, 0.599, 0.500, 0.400, 0.300, 0.200, 0.100, 0.000
0.175,0.000, 0.100, 0.200, 0.300, 0.400, 0.500, 0.595, 0.664, 0.660, 0.636, 0.664, 0.636, 0.660, 0.664, 0.595, 0.500, 0.400, 0.300, 0.200, 0.100, 0.000
0.200,0.000, 0.100, 0.200, 0.300, 0.400, 0.498, 0.585, 0.623, 0.594, 0.597, 0.605, 0.597, 0.594, 0.623, 0.585, 0.498, 0.400, 0.300, 0.200, 0.100, 0.000
0.225,0.000, 0.100, 0.200, 0.300, 0.400, 0.494, 0.563, 0.565, 0.535, 0.560, 0.542, 0.560, 0.535, 0.565, 0.563, 0.494, 0.400, 0.300, 0.200, 0.100, 0.000
0.250,0.000, 0.100, 0.200, 0.300, 0.398, 0.483, 0.523, 0.499, 0.491, 0.511, 0.489, 0.511, 0.491, 0.499, 0.523, 0.483, 0.398, 0.300, 0.200, 0.100, 0.000
0.275,0.000, 0.100, 0.200, 0.299, 0.393, 0.461, 0.468, 0.437, 0.453, 0.452, 0.446, 0.452, 0.453, 0.437, 0.468, 0.461, 0.393, 0.299, 0.200, 0.100, 0.000
0.300,0.000, 0.100, 0.200, 0.297, 0.382, 0.424, 0.404, 0.387, 0.411, 0.392, 0.407, 0.392, 0.411, 0.387, 0.404, 0.424, 0.382, 0.297, 0.200, 0.100, 0.000
